area,year,measurement,units,value,breakdown_of_domestic_tourism,age,marital_status,gender,employment_status,children,access_to_car,social_grade,type_of_location_visited,tourism_activity
Scotland,2018,Count,million pounds (GBP),2073,Expenditure,All,All,All,All,Yes - Children,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),638,Expenditure,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),911,Expenditure,35-44 years,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),850,Expenditure,55-64 years,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),4647,Expenditure,All,All,All,All,All,All,All,All areas,All
Scotland,2013,Count,million pounds (GBP),1555,Expenditure,All,All,All,All,Yes - Children,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),1449,Expenditure,All,All,All,All,All,All,C1,NA,NA
Scotland,2016,Count,million pounds (GBP),3461,Expenditure,All,Married,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),1342,Expenditure,All,All,All,All,Yes - Children,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),915,Expenditure,All,All,All,All,All,All,C2,NA,NA
Scotland,2013,Count,million pounds (GBP),3092,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),3589,Expenditure,All,Married,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),935,Expenditure,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2017,Count,million pounds (GBP),808,Expenditure,45-54 years,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),1892,Expenditure,All,All,All,All,All,All,C1,NA,NA
Scotland,2019,Count,million pounds (GBP),3535,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2017,Count,million pounds (GBP),1268,Expenditure,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),1378,Expenditure,All,All,All,All,All,All,C1,NA,NA
Scotland,2015,Count,million pounds (GBP),1418,Expenditure,All,All,All,All,All,All,C1,NA,NA
Scotland,2015,Count,million pounds (GBP),468,Expenditure,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),607,Expenditure,45-54 years,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),896,Expenditure,45-54 years,All,All,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),1677,Expenditure,All,All,All,All,Yes - Children,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),232,Expenditure,All,All,All,In full or part time education,All,All,All,NA,NA
Scotland,2019,Count,Million Visits,14,Visits,All,All,All,In full or part time education,All,All,All,NA,NA
Scotland,2016,Count,Million Visits,17,Visits,All,All,All,In full or part time education,All,All,All,Village,NA
Scotland,2014,Count,Million Visits,11,Visits,All,All,All,In full or part time education,All,All,All,NA,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2018,Count,Million Visits,15,Visits,All,All,All,In full or part time education,All,All,All,NA,NA
Scotland,2019,Count,million pounds (GBP),500,Expenditure,All,All,All,In full or part time education,All,All,All,NA,NA
Scotland,2013,Count,Million Visits,13,Visits,All,All,All,In full or part time education,All,All,All,NA,NA
Scotland,2017,Count,Million Visits,16,Visits,All,All,All,In full or part time education,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),283,Expenditure,All,All,All,In full or part time education,All,All,All,NA,NA
